"Datasets 1544 of 2067","Tissue","Disease","Assay","Organism","Cells",""
"Single-cell RNA sequencing data of control and VPA-treated dorsal forebrain organoids Single-cell RNA sequencing data of control and VPA-treated dorsal forebrain organoids","neocortex (organoid)","normal","10x 3' v3","Homo sapiens","26,499","Download Explore"
"Lymphocytes from human PBMC samples collected in Indonesia Ancestral and environmental diversity shape the immune landscape in Indonesia","blood","normal","10x 5' v2","Homo sapiens","389,095","Download Explore"
"All cells from human PBMC samples collected in Indonesia Ancestral and environmental diversity shape the immune landscape in Indonesia","blood","normal","10x 5' v2","Homo sapiens","462,034","Download Explore"
"Myeloid cells from human PBMC samples collected in Indonesia Ancestral and environmental diversity shape the immune landscape in Indonesia","blood","normal","10x 5' v2","Homo sapiens","71,492","Download Explore"
"Global HPV-negative HNSCC Atlas A highly resolved integrated single-cell atlas of HPV-negative Head and Neck Cancer","10 tissues","head and neck squamous cell carcinoma","3 assays","Homo sapiens","227,816","Download Explore"
"Immune HNSCC Atlas A highly resolved integrated single-cell atlas of HPV-negative Head and Neck Cancer","10 tissues","head and neck squamous cell carcinoma","3 assays","Homo sapiens","134,385","Download Explore"
"NonImmune HNSCC Atlas A highly resolved integrated single-cell atlas of HPV-negative Head and Neck Cancer","10 tissues","head and neck squamous cell carcinoma","3 assays","Homo sapiens","93,431","Download Explore"
"scRNA-seq of Lung adenocarcinoma with histological subtypes Defining the cellular and molecular identities of histologic subtypes in lung adenocarcinoma","lung parenchyma","lung adenocarcinoma","10x 3' v3","Homo sapiens","117,266","Download Explore"
"Stromal Compartment Human Breast Cancer Single Cell Atlas","breast","12 diseases","5 assays","Homo sapiens","104,032","Download Explore"
"Global Atlas Human Breast Cancer Single Cell Atlas","breast","12 diseases","5 assays","Homo sapiens","621,200","Download Explore"
"Epithelial Compartment Human Breast Cancer Single Cell Atlas","breast","12 diseases","5 assays","Homo sapiens","242,613","Download Explore"
"Immune Compartment Human Breast Cancer Single Cell Atlas","breast","12 diseases","5 assays","Homo sapiens","274,555","Download Explore"
"Helmsley_gut_cell_pediatric Epithelium-enriched single cell transcriptomes from the ascending colon of pediatric and adult control subjects","right colon","normal","10x 3' v3","Homo sapiens","35,957","Download Explore"
"Helmsley_gut_cell_adult Epithelium-enriched single cell transcriptomes from the ascending colon of pediatric and adult control subjects","right colon","normal","10x 3' v3","Homo sapiens","25,641","Download Explore"
"SMBO-109 Determinants of Sensitivity to HER2-targeted Antibody Drug Conjugates in Urothelial Cancer","urinary bladder (organoid)","urinary bladder cancer","10x 3' v3","Homo sapiens","8,156","Download Explore"
"SCBO-8 Determinants of Sensitivity to HER2-targeted Antibody Drug Conjugates in Urothelial Cancer","urinary bladder (organoid)","urinary bladder cancer","10x 3' v3","Homo sapiens","10,946","Download Explore"
"SMBO-170 Determinants of Sensitivity to HER2-targeted Antibody Drug Conjugates in Urothelial Cancer","urinary bladder (organoid)","urinary bladder cancer","10x 3' v3","Homo sapiens","5,785","Download Explore"
"SMBO-114 Determinants of Sensitivity to HER2-targeted Antibody Drug Conjugates in Urothelial Cancer","urinary bladder (organoid)","urinary bladder cancer","10x 3' v3","Homo sapiens","2,410","Download Explore"
"SMBO-106 Determinants of Sensitivity to HER2-targeted Antibody Drug Conjugates in Urothelial Cancer","urinary bladder (organoid)","urinary bladder cancer","10x 3' v3","Homo sapiens","5,762","Download Explore"
"Naive CD4 T cells Immunobiology of Aging Cohort PBMC Profiling","blood","cytomegalovirus infection normal","10x gene expression flex","Homo sapiens","770,809","Download Explore"
"Human Immune Health Atlas CD4 T cells Human Immune Health Atlas","blood","cytomegalovirus infection normal","10x 3' v3","Homo sapiens","743,615","Download Explore"
"CD8 T, gdT, MAIT, and dnT cells Immunobiology of Aging Cohort PBMC Profiling","blood","cytomegalovirus infection normal","10x gene expression flex","Homo sapiens","717,559","Download Explore"
